iter	Passed	Remaining
4415	9868	138534416	9891	138294417	9914	138044418	9937	137794419	9962	137574420	9989	137384421	10011	137124422	10037	136914423	10059	13665424	10091	13652
425	10118	13634
426	10142	13610
427	10163	13582
428	10184	13555
429	10204	13527
430	10228	13503
431	10251	13478
432	10272	13451
4433	10295	134264434	10320	13405435	10348	13386
436	10377	13368
437	10402	13347
438	10431	13330
439	10453	13304
440	10480	13285
441	10500	13255
442	10525	13234
443	10551	13213
444	10572	13186
445	10594	13159
446	10614	13131
447	10640	13110
448	10658	13080
449	10679	13052
450	10704	13030
451	10729	13008
452	10751	12983
453	10777	12960
454	10800	12936
455	10824	12913
456	10849	12891
457	10870	12864
458	10892	12838
459	10914	12812
460	10943	12795
461	10971	12775
462	10992	12749
463	11015	12724
464	11044	12707
465	11067	12682
466	11092	12659
467	11117	12637
468	11145	12618
469	11166	12592
470	11194	12572
471	11216	12547
472	11241	12524
473	11267	12503
474	11288	12477
475	11308	12449
476	11337	12431
477	11357	12403
478	11382	12380
479	11409	12359
480	11436	12340
481	11456	12312
482	11479	12287
483	11503	12263
484	11522	12235
485	11544	12209
486	11569	12187
487	11594	12164
488	11616	12138
489	11638	12113
490	11657	12084
491	11683	12063
492	11705	12037
493	11732	12017
494	11755	11992
495	11781	11971
496	11807	11949
497	11834	11930
498	11857	11904
499	11875	11875
500	11899	11852
501	11927	11832
502	11948	11805
503	11972	11782
504	11997	11760
505	12019	11734
506	12050	11718
507	12082	11702
508	12105	11677
509	12128	11653
510	12152	11629
511	12175	11604
512	12204	11585
513	12226	11560
514	12249	11535
515	12274	11512
516	12295	11486
517	12313	11458
518	12338	11435
519	12360	11410
520	12383	11385
521	12403	11357
522	12423	11331
523	12450	11310
524	12475	11287
525	12494	11259
526	12513	11231
527	12536	11207
528	12561	11184
529	12585	11160
530	12604	11132
531	12629	11110
532	12656	11088
533	12676	11062
534	12693	11032
535	12715	11007
536	12735	10980
537	12761	10959
538	12782	10932
539	12805	10908
540	12833	10887
541	12855	10863
542	12886	10845
543	12907	10819
544	12935	10799
545	12961	10777
546	12985	10754
547	13013	10734
548	13036	10709
549	13057	10683
550	13081	10660
551	13102	10634
552	13122	10607
553	13144	10581
554	13170	10560
555	13191	10533
556	13214	10510
557	13236	10484
558	13262	10463
559	13286	10439
560	13313	10418
561	13331	10389
562	13351	10363
563	13378	10341
564	13396	10314
565	13422	10292
566	13440	10263
567	13461	10238
568	13480	10211
569	13504	10187
570	13526	10162
571	13550	10139
572	13575	10116
573	13594	10089
574	13616	10064
575	13643	10042
576	13682	10030
577	13707	10008
578	13728	9982
579	13756	9961
580	13783	9940
581	13803	9914
582	13824	9888
583	13845	9862
584	13869	9839
585	13892	9814
586	13920	9794
587	13944	9770
588	13966	9745
589	13989	9721
590	14012	9696
591	14033	9671
592	14057	9648
593	14077	9622
594	14095	9594
595	14117	95695596	14141	95455597	14161	95195598	14182	94945599	14204	94696600	14226	94456601	14246	94186602	14265	93916603	14289	93686604	14313	93446605	14342	93246606	14363	92996607	14386	92756608	14417	92566609	14441	92326610	14462	92086611	14484	91836612	14511	91616613	14535	91386614	14561	91156615	14588	90936616	14611	90696617	14633	90456618	14654	90206619	14683	8999
620	14706	89756621	14728	8950
622	14752	8926
623	14773	8902
624	14790	8874
625	14814	8850
626	14839	8827
627	14864	8805
628	14884	8779
629	14905	8753
630	14928	8730
631	14951	8705
632	14973	8681
633	14996	8657
634	15026	8637
635	15047	8612
636	15072	8589
637	15096	8565
638	15121	8542
639	15142	8517
640	15162	8492
641	15189	8470
642	15214	8447
643	15235	8421
644	15256	8397
645	15282	8374
646	15301	8348
647	15321	8323
648	15346	8299
649	15369	8276
650	15400	8255
651	15430	8235
652	15457	8213
653	15479	8189
654	15504	8166
655	15524	8140
656	15548	8117
657	15563	8089
658	15583	8063
659	15607	8040
660	15635	8018
661	15660	7995
662	15682	7971
663	15703	7946
664	15723	7920
665	15746	7896
666	15768	7872
667	15795	7850
668	15822	7828
669	15846	7804
670	15873	7782
671	15890	7756
672	15909	7730
673	15935	7707
674	15958	7683
675	15995	7666
676	16015	7641
677	16043	7619
678	16067	7595
679	16088	7570
680	16111	7547
681	16129	7521
682	16150	7496
683	16176	7473
684	16197	7448
685	16222	7425
686	16248	7402
687	16275	7380
688	16298	7356
689	16321	7332
690	16346	7309
691	16368	7285
692	16387	7259
693	16418	7239
694	16444	7216
695	16468	7193
696	16494	7170
697	16517	7146
698	16545	7124
699	16567	7100
700	16589	7076
701	16615	7053
702	16642	7030
703	16662	7005
704	16684	6981
705	16703	6955
706	16723	6930
707	16744	6905
708	16772	6883
709	16798	6861
710	16829	6840
711	16848	6815
712	16873	6791
713	16903	6770
714	16929	6748
715	16955	6725
716	16980	6702
717	17005	6679
718	17032	6656
719	17057	6633
720	17090	6613
721	17114	6589
722	17141	6567
723	17168	6544
724	17195	6522
725	17217	6498
726	17241	6474
727	17267	6451
728	17290	6427
729	17316	6404
730	17338	6380
731	17356	6354
732	17378	6330
733	17408	6308
734	17430	6284
735	17454	6260
736	17477	6236
737	17501	6213
738	17521	6188
739	17544	6164
740	17566	6139
741	17590	6116
742	17615	6092
743	17637	6068
744	17662	6045
745	17685	6021
746	17711	5998
747	17733	5974
748	17761	5951
749	17788	5929
750	17808	5904
751	17831	5880
752	17860	5858
753	17886	5835
754	17913	5813
755	17945	5791
756	17974	5769
757	18007	5748
758	18035	5726
759	18060	5703
760	18088	5680
761	18114	5657
762	18142	5635
763	18172	5613
764	18192	5588
765	18215	5564
766	18243	5541
767	18272	5519
768	18299	5496
769	18322	5473
770	18353	5451
771	18379	5428
772	18401	5403
773	18431	5381
774	18458	5359
775	18484	5335
776	18510	5312
777	18528	5287
778	18554	5263
779	18582	5241
780	18607	5217
781	18631	5194
782	18655	5170
783	18679	5146
784	18701	5122
785	18723	5097
786	18746	5073
787	18771	5050
788	18794	5026
789	18819	5002
790	18843	4979
791	18874	4956
792	18904	4934
793	18931	4911
794	18957	4888
795	18985	4865
796	19007	4841
797	19027	4816
798	19049	4792
799	19071	4767
800	19094	4743
801	19119	4720
802	19140	4695
803	19170	4673
804	19194	4649
805	19216	4625
806	19239	4601
807	19262	4577
808	19291	4554
809	19309	4529
810	19332	4505
811	19349	4479
812	19381	4457
813	19407	4434
814	19432	4411
815	19454	4386
816	19482	4363
817	19505	4339
818	19527	4315
819	19552	4292
820	19574	4267
821	19600	4244
822	19631	4222
823	19657	4198
824	19677	4173
825	19701	4150
826	19723	4125
827	19744	4101
828	19769	4077
829	19792	4053
830	19817	4030
831	19836	4005
832	19860	3981
833	19885	3957
834	19905	3933
835	19927	3909
836	19945	3884
837	19960	3858
838	19983	3834
839	20010	3811
840	20029	3786
841	20050	3762
842	20070	3737
843	20101	3715
844	20120	3690
845	20143	3666
846	20166	3642
847	20186	3618
848	20208	3594
849	20227	3569
850	20249	3545
851	20270	3521
852	20286	3496
853	20310	3472
854	20337	3449
855	20360	3425
856	20385	3401
857	20408	3377
858	20427	3353
859	20449	3328
860	20473	3305
861	20493	3280
862	20514	3256
863	20537	3232
864	20562	3209
865	20585	3185
866	20613	3162
867	20635	3138
868	20655	3113
869	20680	3090
870	20702	3066
871	20726	3042
872	20746	3018
873	20771	2994
874	20798	2971
875	20816	2946
876	20839	2922
877	20858	2898
878	20883	2874
879	20907	2851
880	20928	2826
881	20953	2803
882	20979	2779
883	20995	2755
884	21017	2731
885	21036	2706
886	21057	2682
887	21082	2659
888	21107	2635
889	21128	2611
890	21148	2587
891	21171	2563
892	21200	2540
893	21221	2516
894	21245	2492
895	21270	2468
896	21292	2444
897	21320	2421
898	21341	2397
899	21364	2373
900	21390	2350
